Name,Model,Latitude,Longitude,height,diameter
WEA-iT01,vestas-v172.dae,48.25413391819091,8.535100799283962,199,172
WEA-iT02,vestas-v172.dae,48.252190833616346,8.544027190435052,199,172
WEA-iT03,vestas-v172.dae,48.2535624303927,8.515617233983022,199,172
WEA-iT04,vestas-v172.dae,48.250990656256285,8.523341995556082,199,172
WEA-iT05,vestas-v172.dae,48.24796151194575,8.533040862864478,199,172
WEA-iT06,vestas-v172.dae,48.24813297773512,8.513814789615974,199,172
WEA-iT07,vestas-v172.dae,48.24253146460605,8.515831810693385,199,172
WEA-iT08,vestas-v172.dae,48.24356035994735,8.526903968948103,199,172
WEA-iT09,vestas-v172.dae,48.239378087990616,8.530826802257371,199,172
WEA-iT10,vestas-v172.dae,48.26572434326006,8.56485867028379,199,172
